stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type
061310,061310,ΘΕΟΤΟΚΟΣ,Επί της ΧΑΤΖΟΠΟΥΛΟΥ,38.000496161,23.763099628,0
061311,061311,ΓΗΡΟΚΟΜΕΙΟ,Επί της ΜΠΑΚΟΥ,37.997874057,23.767937193,0
061312,061312,ΝΟΣΟΚΟΜΕΙΟ ΑΕΡΟΠΟΡΙΑΣ,Επί της ΛΕΩΦ.ΠΑΝ.ΚΑΝΕΛΛΟΠΟΥΛΟΥ,37.988971615,23.778453663,0
061313,061313,ΠΛ.ΠΑΓΚΡΑΤΙΟΥ,Επί της ΥΜΗΤΤΟΥ,37.968024005,23.750589591,0
061314,061314,ΝΟΣΟΚΟΜΕΙΟ ΑΕΡΟΠΟΡΙΑΣ,Επί της ΛΕΩΦ.ΠΑΝ.ΚΑΝΕΛΛΟΠΟΥΛΟΥ,37.989197900,23.778965448,0
061315,061315,ΓΕΝΙΚΟ ΚΡΑΤΙΚΟ,Επί της ΧΑΡΙΤΩΝΙΔΟΥ,37.997594238,23.781844555,0
061319,061319,ΣΤ.ΠΑΝΟΡΜΟΥ,Επί της ΠΑΝΟΡΜΟΥ,37.993376636,23.763407245,0
061320,061320,ΕΘΝΙΚΗ ΓΛΥΠΤΟΘΗΚΗ,Επί της ΛΕΩΦ.ΠΑΝ.ΚΑΝΕΛΛΟΠΟΥΛΟΥ,37.986543485,23.781307892,0
061321,061321,ΑΦΕΤΗΡΙΑ,Επί της ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ,37.996146212,23.747339590,0
061322,061322,ΜΗΤΡΟΠΕΤΡΟΒΑ,Επί της ΒΡΙΛΗΣΣΟΥ,38.000100888,23.759296705,0
061323,061323,ΜΗΤΡΟΠΕΤΡΟΒΑ,Επί της ΒΡΙΛΗΣΣΟΥ,38.001121355,23.760284296,0
061324,061324,ΔΙΚΑΣΤΗΡΙΑ,Επί της ΠΡΙΓΚΙΠΟΝΝΗΣΩΝ,37.996609072,23.744650137,0
061325,061325,ΑΦΕΤΗΡΙΑ,Επί της ΣΙΝΑ,37.979985376,23.734698844,0
061326,061326,ΡΟΣΙΝΙΟΛ,Επί της ΔΥΡΡΑΧΙΟΥ,38.007430073,23.715668257,0
061328,061328,ΠΑΓΚΡΑΤΙ,Επί της ΦΙΛΟΛΑΟΥ,37.967011174,23.753257034,0
061329,061329,ΣΤΡΑΤΙΩΤΙΚΟ ΝΟΣΟΚΟΜΕΙΟ,Επί της ΛΕΩΦ.ΠΑΝ.ΚΑΝΕΛΛΟΠΟΥΛΟΥ,37.990312567,23.777413296,0
061335,061335,ΕΟΤ,Επί της ΑΜΕΡΙΚΗΣ,37.977586714,23.734149549,0
061341,061341,ΤΕΡΜΑ,Επί της ΤΣΟΥΝΤΑ,38.021923154,23.727290268,0
061343,061343,ΚΑΝΑΡΗ,Επί της ΣΟΛΩΝΟΣ,37.977417876,23.739251217,0
061344,061344,ΛΑΟΥ,Επί της ΚΟΛΟΚΥΝΘΟΥΣ,37.983763600,23.719938727,0
061345,061345,ΙΚΑ,Επί της ΑΛΚΜΗΝΗΣ,37.974819585,23.711137264,0
061348,061348,2η ΡΙΖΟΥΠΟΛΕΩΣ,Επί της ΕΡΜΩΝΑΣΣΗΣ,38.027938567,23.745088355,0
061350,061350,ΠΟΛΥΤΕΧΝΕΙΟ,Επί της 3ης ΣΕΠΤΕΜΒΡΙΟΥ,37.988057097,23.729078306,0
061351,061351,ΒΡΕΤΤΟΥ,Επί της ΛΙΟΣΙΩΝ,38.012082016,23.719979116,0
061352,061352,ΠΡΑΚΤΟΡΕΙΑ,Επί της ΛΙΟΣΙΩΝ,38.009669500,23.721207159,0
061353,061353,ΤΕΡΜΑ,Επί της ΜΗΤΡΟΠΕΤΡΟΒΑ,37.998376431,23.757833091,0
061357,061357,ΦΙΛΕΛΛΗΝΩΝ,Επί της ΦΙΛΕΛΛΗΝΩΝ,37.973097105,23.733619231,0
061360,061360,ΠΛ.ΚΥΨΕΛΗΣ,Επί της ΠΛ.ΚΥΨΕΛΗΣ,38.002216932,23.741384506,0
061361,061361,ΤΕΡΜΑ(ΑΠΟΒΙΒΑΣΗΣ),Επί της ΑΣΚΛΗΠΙΟΥ,37.988234042,23.747856408,0
061362,061362,ΕΡΤ,Επί της ΜΕΣΟΓΕΙΩΝ,37.992327472,23.775323094,0
061363,061363,ΣΤ.ΚΑΤΕΧΑΚΗ,Επί της ΜΕΣΟΓΕΙΩΝ,37.993700991,23.777198059,0
061364,061364,ΠΑΙΩΝΙΟΥ,Επί της ΛΙΟΣΙΩΝ,37.993882453,23.722656357,0
061368,061368,ΣΤ.ΛΑΡΙΣΗΣ,Επί της ΔΗΛΗΓΙΑΝΝΗ,37.991850704,23.721024060,0
061369,061369,ΔΟΜΟΚΟΥ,Επί της ΔΟΜΟΚΟΥ,37.995015316,23.721490413,0
061372,061372,ΠΛ.ΠΛΑΣΤΗΡΑ,Επί της ΕΥΦΡΑΝΟΡΟΣ,37.967542442,23.744580062,0
061375,061375,(ΤΕΡΜΑ)ΑΜΑΞ/ΣΙΟ ΒΟΤΑΝΙΚΟΥ,Επί της ΕΝΤΟΣ ΑΜΑΞΟΣΤΑΣΙΟΥ,37.980598881,23.704703858,0
061377,061377,ΟΜΟΝΟΙΑ-ΣΩΚΡΑΤΟΥΣ,Επί της ΠΕΙΡΑΙΩΣ,37.983074818,23.725976541,0
061378,061378,ΟΜΟΝΟΙΑ,Επί της ΠΕΙΡΑΙΩΣ,37.982875368,23.725476249,0
061380,061380,ΑΚΑΔΗΜΙΑ ΑΘΗΝΩΝ,Επί της ΠΑΝΕΠΙΣΤΗΜΙΟΥ,37.980045402,23.733343611,0
061382,061382,ΠΟΛΥΤΕΧΝΕΙΟ,Επί της ΠΑΤΗΣΙΩΝ,37.987248356,23.730128958,0
061383,061383,ΝΙΚΟΜΑΧΟΥ,Επί της ΗΛΙΑ ΗΛΙΟΥ,37.959745457,23.736035243,0
061386,061386,ΔΕΙΝΟΣΤΡΑΤΟΥ,Επί της ΗΛΙΑ ΗΛΙΟΥ,37.958945936,23.733203628,0
061392,061392,ΗΠΕΙΡΟΥ,Επί της ΑΧΑΡΝΩΝ,37.990259773,23.726712833,0
061558,061558,ΧΙΛΤΟΝ,Επί της ΛΕΩΦ.ΒΑΣ.ΣΟΦΙΑΣ,37.977028167,23.750729919,0
061560,061560,ΣΤ.ΚΑΤΕΧΑΚΗ(ΑΦΕΤΗΡΙΑ),Επί της ΣΤΟ ΧΩΡΟ ΤΟΥ ΣΤΘ.ΚΑΤΕΧΑΚΗ,37.993502343,23.777005051,0
061561,061561,ΑΝΩ ΠΑΤΗΣΙΑ,Επί της ΑΓ.ΛΑΥΡΑΣ,38.022039607,23.738888107,0
061562,061562,ΑΦΕΤΗΡΙΑ,Επί της ΒΑΣ.ΑΜΑΛΙΑΣ,37.974615802,23.735629040,0
061567,061567,ΕΛΕΝΑΣ ΒΕΝΙΖΕΛΟΥ,Επί της ΠΑΝΑΓΗ ΚΥΡΙΑΚΟΥ,37.984931165,23.754404110,0
